url,price,rooms,area,location
https://www.otodom.pl/pl/oferta/apartament-w-srodmiesciu-104m2-ID4n2Ho,830000.0,3.0,104.0, Śródmieście
https://www.otodom.pl/pl/oferta/wysoki-standard-super-lokalizacja-studio-balkon-ID4ncfO,412045.0,1.0,35.8,Śródmieście
https://www.otodom.pl/pl/oferta/super-lokalizacja-standard-premium-ID4ncfM,351540.0,1.0,26.04,Śródmieście
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-premium-swietna-lokalizacja-ID4ncfN,567386.0,2.0,47.48,Śródmieście
https://www.otodom.pl/pl/oferta/premium-2-pokoje-balkon-super-lokalizacja-ID4ncfH,481014.0,2.0,42.0,Śródmieście
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-premium-swietna-lokalizacja-ID4ncfI,528336.0,2.0,48.92,Śródmieście
https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-premium-swietna-lokalizacja-ID4ncfK,520173.0,2.0,45.4,Śródmieście
https://www.otodom.pl/pl/oferta/katowice-giszowiec-ul-wojciecha-2-pokoje-kredyt2-ID4n7Gl,255000.0,2.0,43.0, Giszowiec
https://www.otodom.pl/pl/oferta/rezerwacja-do-25-09-ID4nccB,399636.0,3.0,61.2,Dąbrówka Mała
https://www.otodom.pl/pl/oferta/do-wejscia-750-m-od-zabytkowego-nikiszowca-ID4ncbY,301900.0,2.0,30.49, Janów-Nikiszowiec
https://www.otodom.pl/pl/oferta/451s-panewniki-gotowiec-inwestycyjny-ID4ncbT,330000.0,4.0,68.0, Ligota-Panewniki
https://www.otodom.pl/pl/oferta/na-sprzedaz-jasny-apartament-przy-parku-bytkowska-ID4maJc,420000.0,2.0,43.1, Wełnowiec-Józefowiec
https://www.otodom.pl/pl/oferta/750m-od-nikiszowca-2-pok-nowa-kamienica-ID4ncb2,199000.0,2.0,28.7, Janów-Nikiszowiec
https://www.otodom.pl/pl/oferta/dwupak-inwestycyjny-roi-10-hit-ID4ncaO,323900.0,2.0,36.83, Janów-Nikiszowiec
https://www.otodom.pl/pl/oferta/inwestycja-budynek-po-remoncie-na-sprzedaz-19m-ID4ncax,4050000.0,,513.11, Janów-Nikiszowiec
